,Year,Month,Thailand,Tunisia,Turkey
5,2020,6,0.0,14530.0,210903.0
6,2020,7,0.0,213644.0,929515.0
7,2020,8,0.0,132833.0,1809474.0
8,2020,9,0.0,73448.0,2199300.0
9,2020,10,1201.0,74796.0,1738451.0
10,2020,11,3065.0,52964.0,830445.0
11,2020,12,6556.0,149320.0,695703.0
0,2021,1,7694.0,127044.0,506886.0
1,2021,2,5741.0,75859.0,535556.0
2,2021,3,6737.0,137023.0,902343.0
3,2021,4,8529.0,144091.0,787502.0
4,2021,5,6052.0,129526.0,934005.0
5,2021,6,5694.0,324948.0,2041227.0
6,2021,7,18056.0,397461.0,4349513.0
7,2021,8,15105.0,190703.0,3961285.0
8,2021,9,12237.0,150293.0,3499714.0
9,2021,10,20272.0,262448.0,3461465.0
10,2021,11,91255.0,237283.0,1753741.0
11,2021,12,230497.0,297666.0,1889738.0
0,2022,1,128224.0,212785.0,1279477.0
1,2022,2,151794.0,265828.0,1539751.0
2,2022,3,208100.0,338624.0,2078996.0
3,2022,4,287511.0,302995.0,2542293.0
4,2022,5,508177.0,428171.0,3786953.0
5,2022,6,768970.0,553918.0,4906622.0
6,2022,7,1134929.0,856363.0,6540643.0
7,2022,8,1188218.0,878616.0,6140415.0
8,2022,9,1259274.0,712954.0,5317636.0
9,2022,10,1467365.0,670111.0,4627005.0
10,2022,11,1721487.0,508941.0,2494190.0
11,2022,12,2241177.0,708357.0,2388666.0
0,2023,1,2144948.0,524747.0,1996147.0
1,2023,2,2113550.0,515507.0,1866781.0
2,2023,3,2269733.0,547672.0,2310777.0
3,2023,4,2182100.0,575504.0,3237886.0
4,2023,5,2013852.0,754483.0,4326532.0
5,2023,6,2241201.0,888000.0,5399528.0
6,2023,7,2490643.0,1187532.0,6934962.0
7,2023,8,2468042.0,1219381.0,6436599.0
8,2023,9,2130596.0,954907.0,5582644.0
9,2023,10,2197017.0,824193.0,4701084.0
10,2023,11,2637077.0,606122.0,2419334.0
11,2023,12,3261257.0,772463.0,2462352.0
0,2024,1,3035296.0,611889.0,2030682.0
1,2024,2,3352302.0,611281.0,2287473.0
2,2024,3,2982721.0,532025.0,2667754.0
3,2024,4,2757128.0,597826.0,3582567.0
4,2024,5,2633464.0,,4958978.0
