Year,Month,Country,N_visitors
2018,11,Peru,355410
2018,12,Brazil,661683
2018,12,Peru,388366
2019,1,Brazil,863301
2019,1,Peru,376263
2019,2,Brazil,816032
2019,2,Peru,351541
2019,3,Brazil,611372
2019,3,Peru,374804
2019,4,Brazil,497309
2019,4,Peru,360891
2019,5,Brazil,343094
2019,5,Peru,360037
2019,6,Brazil,400237
2019,6,Peru,353606
2019,7,Brazil,459827
2019,7,Peru,412415
2019,8,Brazil,417794
2019,8,Peru,381571
2019,9,Brazil,407235
2019,9,Peru,349095
2019,10,Brazil,413170
2019,10,Peru,345436
2019,11,Brazil,471671
2019,11,Peru,345565
2019,12,Brazil,652099
2019,12,Peru,360563
2020,1,Brazil,873295
2020,1,Peru,370618
2020,2,Brazil,812726
2020,2,Peru,360517
2020,3,Brazil,290234
2020,3,Peru,114437
2020,4,Brazil,559
2020,4,Peru,0
2020,5,Brazil,517
2020,5,Peru,0
2020,6,Brazil,655
2020,6,Peru,0
2020,7,Brazil,1459
2020,7,Peru,0
2020,8,Brazil,8305
2020,8,Peru,0
2020,9,Brazil,12010
2020,9,Peru,0
2020,10,Brazil,24751
2020,10,Peru,4729
2020,11,Brazil,41606
2020,11,Peru,11620
2020,12,Brazil,80318
2020,12,Peru,34602
2021,1,Brazil,71989
2021,1,Peru,11706
2021,2,Brazil,48096
2021,2,Peru,6151
2021,3,Brazil,32439
2021,3,Peru,12772
2021,4,Brazil,18428
2021,4,Peru,15792
2021,5,Brazil,23713
2021,5,Peru,19899
2021,6,Brazil,24070
2021,6,Peru,26348
2021,7,Brazil,60270
2021,7,Peru,38283
2021,8,Brazil,40410
2021,8,Peru,40183
2021,9,Brazil,50675
2021,9,Peru,50612
2021,10,Brazil,93824
2021,10,Peru,61259
2021,11,Brazil,107123
2021,11,Peru,72614
2021,12,Brazil,174834
2021,12,Peru,88712
2022,1,Brazil,326670
2022,1,Peru,61872
2022,2,Brazil,311342
2022,2,Peru,72003
2022,3,Brazil,276708
2022,3,Peru,107875
2022,4,Brazil,306795
2022,4,Peru,134872
2022,5,Brazil,202256
2022,5,Peru,150494
2022,6,Brazil,192909
2022,6,Peru,196031
2022,7,Brazil,289581
2022,7,Peru,235754
2022,8,Brazil,263626
2022,8,Peru,218865
2022,9,Brazil,273004
2022,9,Peru,204079
2022,10,Brazil,305644
2022,10,Peru,220792
2022,11,Brazil,352458
2022,11,Peru,209298
2022,12,Brazil,529038
2022,12,Peru,197340
2023,1,Brazil,971275
2023,1,Peru,143058
2023,2,Brazil,755842
2023,2,Peru,156922
2023,3,Brazil,577215
2023,3,Peru,173226
2023,4,Brazil,408798
2023,4,Peru,189685
2023,5,Brazil,292375
2023,5,Peru,181440
2023,6,Brazil,274302
2023,6,Peru,220212
2023,7,Brazil,375648
2023,7,Peru,263123
2023,8,Brazil,365041
2023,8,Peru,237291
2023,9,Brazil,352355
2023,9,Peru,229004
2023,10,Brazil,409924
2023,10,Peru,234194
2023,11,Brazil,504395
2023,11,Peru,233842
2023,12,Brazil,621171
2023,12,Peru,262661
2024,1,Brazil,956737
2024,1,Peru,251324
2024,2,Brazil,833306
2024,2,Peru,257804
2024,3,Brazil,740483
2024,3,Peru,259288
2024,4,Brazil,398587
2024,4,Peru,248202
2024,5,Brazil,335652
2024,5,Peru,273469
2010,1,Chile,441145
2010,1,Israel,164258
2010,1,Japan,640346
2010,2,Chile,290121
2010,2,Israel,178531
2010,2,Japan,664982
2010,3,Chile,190456
2010,3,Israel,258340
2010,3,Japan,709684
2010,4,Chile,180555
2010,4,Israel,267386
2010,4,Japan,788212
2010,5,Chile,170618
2010,5,Israel,255820
2010,5,Japan,721348
2010,6,Chile,142796
2010,6,Israel,213949
2010,6,Japan,677064
2010,7,Chile,195843
2010,7,Israel,238436
2010,7,Japan,878582
2010,8,Chile,188316
2010,8,Israel,233242
2010,8,Japan,802725
2010,9,Chile,196116
2010,9,Israel,205997
2010,9,Japan,717756
2010,10,Chile,234495
2010,10,Israel,325207
2010,10,Japan,727278
2010,11,Chile,255859
2010,11,Israel,245013
2010,11,Japan,634818
2010,12,Chile,314317
2010,12,Israel,216980
2010,12,Japan,648380
2011,1,Chile,429789
2011,1,Israel,191218
2011,1,Japan,714099
2011,2,Chile,305579
2011,2,Israel,197257
2011,2,Japan,679393
2011,3,Chile,296141
2011,3,Israel,251039
2011,3,Japan,352676
2011,4,Chile,231246
2011,4,Israel,260741
2011,4,Japan,295826
2011,5,Chile,190575
2011,5,Israel,267838
2011,5,Japan,357783
2011,6,Chile,171328
2011,6,Israel,228297
2011,6,Japan,432883
2011,7,Chile,224604
2011,7,Israel,236803
2011,7,Japan,561489
2011,8,Chile,197464
2011,8,Israel,225100
2011,8,Japan,546503
2011,9,Chile,216102
2011,9,Israel,229130
2011,9,Japan,538727
2011,10,Chile,250271
2011,10,Israel,269862
2011,10,Japan,615701
2011,11,Chile,277075
2011,11,Israel,248226
2011,11,Japan,551571
2011,12,Chile,347111
2011,12,Israel,214733
2011,12,Japan,572101
2012,1,Chile,490501
2012,1,Israel,189105
2012,1,Japan,681786
2012,2,Chile,387115
2012,2,Israel,199773
2012,2,Japan,546451
2012,3,Chile,300258
2012,3,Israel,248305
2012,3,Japan,676662
2012,4,Chile,278427
2012,4,Israel,295944
2012,4,Japan,779481
2012,5,Chile,218722
2012,5,Israel,269367
2012,5,Japan,667046
2012,6,Chile,192208
2012,6,Israel,241868
2012,6,Japan,682932
2012,7,Chile,261328
2012,7,Israel,241147
2012,7,Japan,847194
2012,8,Chile,249743
2012,8,Israel,247543
2012,8,Japan,774239
2012,9,Chile,241553
2012,9,Israel,235940
2012,9,Japan,658239
2012,10,Chile,264854
2012,10,Israel,298287
2012,10,Japan,705848
2012,11,Chile,299242
2012,11,Israel,223449
2012,11,Japan,648548
2012,12,Chile,370328
2012,12,Israel,195138
2012,12,Japan,689679
2013,1,Chile,484503
2013,1,Israel,167507
2013,1,Japan,668610
2013,2,Chile,350251
2013,2,Israel,183799
2013,2,Japan,729460
2013,3,Chile,356288
2013,3,Israel,251111
2013,3,Japan,857024
2013,4,Chile,252000
2013,4,Israel,300177
2013,4,Japan,923017
2013,5,Chile,210616
2013,5,Israel,283234
2013,5,Japan,875408
2013,6,Chile,197421
2013,6,Israel,241377
2013,6,Japan,901066
2013,7,Chile,258355
2013,7,Israel,245784
2013,7,Japan,1003032
2013,8,Chile,252228
2013,8,Israel,240571
2013,8,Japan,906397
2013,9,Chile,240671
2013,9,Israel,211754
2013,9,Japan,866966
2013,10,Chile,290725
2013,10,Israel,338899
2013,10,Japan,928560
2013,11,Chile,308510
2013,11,Israel,256505
2013,11,Japan,839891
2013,12,Chile,374636
2013,12,Israel,240982
2013,12,Japan,864491
2014,1,Chile,490976
2014,1,Israel,200087
2014,1,Japan,944009
2014,2,Chile,354125
2014,2,Israel,221532
2014,2,Japan,880020
2014,3,Chile,333977
2014,3,Israel,283719
2014,3,Japan,1050559
2014,4,Chile,254063
2014,4,Israel,341833
2014,4,Japan,1231471
2014,5,Chile,228542
2014,5,Israel,346177
2014,5,Japan,1097211
2014,6,Chile,193004
2014,6,Israel,297330
2014,6,Japan,1055273
2014,7,Chile,270426
2014,7,Israel,193869
2014,7,Japan,1270048
2014,8,Chile,251258
2014,8,Israel,164130
2014,8,Japan,1109569
2014,9,Chile,244717
2014,9,Israel,179514
2014,9,Japan,1099102
2014,10,Chile,302173
2014,10,Israel,275888
2014,10,Japan,1271705
2014,11,Chile,312854
2014,11,Israel,219176
2014,11,Japan,1168427
2014,12,Chile,438276
2014,12,Israel,203449
2014,12,Japan,1236073
2015,1,Chile,560655
2015,1,Israel,167508
2015,1,Japan,1218393
2015,2,Chile,432415
2015,2,Israel,187000
2015,2,Japan,1386982
2015,3,Chile,370776
2015,3,Israel,238772
2015,3,Japan,1525879
2015,4,Chile,313408
2015,4,Israel,288747
2015,4,Japan,1764691
2015,5,Chile,263887
2015,5,Israel,281508
2015,5,Japan,1641734
2015,6,Chile,284005
2015,6,Israel,237475
2015,6,Japan,1602198
2015,7,Chile,331061
2015,7,Israel,244968
2015,7,Japan,1918356
2015,8,Chile,294748
2015,8,Israel,232863
2015,8,Japan,1817023
2015,9,Chile,300488
2015,9,Israel,224517
2015,9,Japan,1612208
2015,10,Chile,360330
2015,10,Israel,289666
2015,10,Japan,1829265
2015,11,Chile,401287
2015,11,Israel,209113
2015,11,Japan,1647550
2015,12,Chile,565276
2015,12,Israel,197230
2015,12,Japan,1773130
2016,1,Chile,730786
2016,1,Israel,164813
2016,1,Japan,1851895
2016,2,Chile,599445
2016,2,Israel,191241
2016,2,Japan,1891375
2016,3,Chile,510732
2016,3,Israel,240442
2016,3,Japan,2009549
2016,4,Chile,374190
2016,4,Israel,253047
2016,4,Japan,2081697
2016,5,Chile,320357
2016,5,Israel,297329
2016,5,Japan,1893574
2016,6,Chile,301805
2016,6,Israel,236302
2016,6,Japan,1985722
2016,7,Chile,440925
2016,7,Israel,231823
2016,7,Japan,2296451
2016,8,Chile,370845
2016,8,Israel,211377
2016,8,Japan,2048587
2016,9,Chile,403192
2016,9,Israel,265451
2016,9,Japan,1918246
2016,10,Chile,456322
2016,10,Israel,271706
2016,10,Japan,2135905
2016,11,Chile,474278
2016,11,Israel,287891
2016,11,Japan,1875404
2016,12,Chile,657823
2016,12,Israel,248598
2016,12,Japan,2050648
2017,1,Chile,964027
2017,1,Israel,211893
2017,1,Japan,2295668
2017,2,Chile,709043
2017,2,Israel,233744
2017,2,Japan,2035771
2017,3,Chile,521123
2017,3,Israel,293004
2017,3,Japan,2205664
2017,4,Chile,469626
2017,4,Israel,349228
2017,4,Japan,2578970
2017,5,Chile,357953
2017,5,Israel,346863
2017,5,Japan,2294717
2017,6,Chile,322568
2017,6,Israel,303053
2017,6,Japan,2346442
2017,7,Chile,491167
2017,7,Israel,270990
2017,7,Japan,2681518
2017,8,Chile,480158
2017,8,Israel,253659
2017,8,Japan,2477428
2017,9,Chile,442503
2017,9,Israel,278438
2017,9,Japan,2280406
2017,10,Chile,481782
2017,10,Israel,426284
2017,10,Japan,2595148
2017,11,Chile,517243
2017,11,Israel,355898
2017,11,Japan,2378079
2017,12,Chile,692690
2017,12,Israel,290104
2017,12,Japan,2521262
2018,1,Chile,893326
2018,1,Israel,257068
2018,1,Japan,2501409
2018,2,Chile,683023
2018,2,Israel,299644
2018,2,Japan,2509297
2018,3,Chile,574260
2018,3,Israel,393072
2018,3,Japan,2607956
2018,4,Chile,436258
2018,4,Israel,408882
2018,4,Japan,2900718
2018,5,Chile,329515
2018,5,Israel,396126
2018,5,Japan,2675052
2018,6,Chile,281417
2018,6,Israel,310835
2018,6,Japan,2704631
2018,7,Chile,409798
2018,7,Israel,293910
2018,7,Japan,2832040
2018,8,Chile,372443
2018,8,Israel,279232
2018,8,Japan,2578021
2018,9,Chile,351607
2018,9,Israel,281971
2018,9,Japan,2159595
2018,10,Chile,369372
2018,10,Israel,485747
2018,10,Japan,2640610
2018,11,Chile,463974
2018,11,Israel,388809
2018,11,Japan,2450751
2018,12,Chile,557935
2018,12,Israel,325551
2018,12,Japan,2631776
2019,1,Chile,625376
2019,1,Israel,284825
2019,1,Japan,2689339
2019,2,Chile,436778
2019,2,Israel,342071
2019,2,Japan,2604322
2019,3,Chile,454800
2019,3,Israel,425811
2019,3,Japan,2760136
2019,4,Chile,377684
2019,4,Israel,404908
2019,4,Japan,2926685
2019,5,Chile,306465
2019,5,Israel,439880
2019,5,Japan,2773091
2019,6,Chile,299955
2019,6,Israel,365102
2019,6,Japan,2880041
2019,7,Chile,376029
2019,7,Israel,322822
2019,7,Japan,2991189
2019,8,Chile,322858
2019,8,Israel,304598
2019,8,Japan,2520134
2019,9,Chile,288537
2019,9,Israel,404954
2019,9,Japan,2272883
2019,10,Chile,306142
2019,10,Israel,447053
2019,10,Japan,2496568
2019,11,Chile,292215
2019,11,Israel,451244
2019,11,Japan,2441274
2019,12,Chile,431123
2019,12,Israel,358300
